A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,
,F,AGT,Angiotensinogen and angiotensin,"AGT; alpha-1 antiproteinase,antitrypsin; Ang I; Ang II; Ang III; Ang IV; angiotensin; Angiotensin 1-10; Angiotensin 1-4; Angiotensin 1-5; Angiotensin 1-7; Angiotensin 1-8; Angiotensin 1-9; Angiotensin 2-8; Angiotensin 3-8; Angiotensin I; Angiotensin II; Angiotensin III; Angiotensin IV; Angiotensin-1; Angiotensin-2; Angiotensin-3; Angiotensin-4; Angiotensinogen; angiotensinogen (serpin peptidase inhibitor,clade A,member 8); ANGT; ANHU; Des-Asp[1]-angiotensin II; fetal-liver predominant transporter 1; FLJ92595; FLJ97926; hFLT1; pre-angiotensinogen; serine (or cysteine) proteinase inhibitor; Serpin A8; serpin peptidase inhibitor,clade A,member 8; SERPINA8",Protein,"53,154",34-485,Renin,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
4474-91-3,T,ANG II,Angiotensin II,N/A,Small molecule,,,,1046.2,172198,150504,N/A,https://commonchemistry.cas.org/detail?cas_rn=4474-91-3&search=4474-91-3,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=172198,http://www.chemspider.com/Chemical-Structure.150504.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/N/A,,ACE,Angiotensin converting enzyme,"ACE; ACE1; angiotensin converting enzyme,somatic isoform; angiotensin I converting enzyme; angiotensin I converting enzyme (peptidyl-dipeptidase A) 1; angiotensin I converting enzyme 1; Angiotensin-converting enzyme; Angiotensin-converting enzyme,soluble form; carboxycathepsin; CD143; CD143 antigen; DCP; DCP1; dipeptidyl carboxypeptidase 1; Dipeptidyl carboxypeptidase I; Kininase II; MGC26566; MVCD3; peptidase P; testicular ECA",P12821,4352,"Converts angiotensin I to angiotensin II by release of the terminal His-Leu,this results in an increase of the vasoconstrictor activity of angiotensin. Also able to inactivate bradykinin,a potent vasodilator. Has also a glycosidase activity which releases GPI-anchored proteins from the membrane by cleaving the mannose linkage in the GPI moiety. Belongs to the peptidase M2 family.",F,F,T,F,T,F,F,T,F,
,F,AMH,Anti-Müllerian hormone (Müllerian-inhibiting factor),AMH; Anti-Muellerian hormone; anti-Mullerian hormone; MIF; MIS; Muellerian-inhibiting factor; Muellerian-inhibiting substance; Mullerian inhibiting factor; Mullerian inhibiting substance,Protein,"59,195",26-560,,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,ARTN,Artemin,ART; Artemin; ARTN; Enovin; EVN; NBN; Neublastin; neurotrophic factor artemin,Protein,"22,878",108 – 220,,,,,,,,,,,,,ARTN; EVN,,,,F,F,F,T,T,F,F,T,F,
617-45-8,T,Asp; D,Aspartate,"Aspartic Acid,2-Aminobutanedioic acid,Aminosuccinic acid,asparagic acid,asparaginic acid,DL-Aminosuccinic acid,DL-Asparagic acid",Small molecule,,,,133.103,424,411,ChEMBL139661,https://commonchemistry.cas.org/detail?cas_rn=617-45-8&search=617-45-8,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=424,http://www.chemspider.com/Chemical-Structure.411.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL139661,,cAspAT; GOT1,"Aspartate transaminase,cytoplasmic",Aspartate transaminase; AspAT; ASAT; AAT; SGOT; aspartate aminotransferase; serum glutamic oxaloacetic transaminase; cAspAT,P17174,,,F,F,T,F,T,F,F,T,F,
,F,ACMICD,Asprosin (Fibrillin-1),ACMICD; asprosin; ECTOL1; epididymis secretory sperm binding protein; FBN; FBN1; fibrillin 1; fibrillin 15; Fibrillin-1; fibrillin-1 preproprotein; GPHYSD2; MASS; MFLS; MFS1; OCTD; SGS; SSKS; WMS; WMS2,Protein,312312,2732 – 2871,Furin convertase,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,ANP,Atrial natriuretic peptide,NPPA; CDD-ANF; Cardiodilatin; CDD; Cardiodilatin-related peptide; CDP; Prepronatriodilatin; Atrial natriuretic factor; ANF,Protein,"16,708",124 – 151,CORIN,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,AMF;,Autocrine motility factor,Glucose-6-phosphate isomerase; Neuroleukin; Oxoisomerase; Phosphoglucose isomerase; Phosphohexose isomerase; Sperm antigen-36; G6PI; glucose phosphate isomerase; GNPI; hexose monophosphate isomerase; hexosephosphate isomerase; NLK; PGI; PHI; phosphohexomutase; phosphosaccharomutase; SA-36; SA36; Sperm antigen 36,Protein,"63,147",2-558,,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,ACTH (POMC; LPH),Adrenocorticotropic hormone (Melanocyte stimulating hormone; Lipotropin),ACTH; Adrenocorticotropic hormone; adrenocorticotropin; alpha-melanocyte-stimulating hormone; Alpha-MSH; Beta-endorphin; Beta-LPH; beta-melanocyte-stimulating hormone; Beta-MSH; CLIP; COLI; Corticotropin; Corticotropin-like intermediary peptide; Corticotropin-lipotropin; Gamma-LPH; Gamma-MSH; Lipotropin beta; Lipotropin gamma; LPH; Melanocyte-stimulating hormone alpha; Melanocyte-stimulating hormone beta; Melanotropin alpha; Melanotropin beta; Melanotropin gamma; Met-enkephalin; MSH; NPP; OBAIRH; opiomelanocortin prepropeptide; POC; POMC; Potential peptide; pro-ACTH-endorphin; Pro-opiomelanocortin; proopiomelanocortin; proopiomelanocortin preproprotein,Protein,"29,424",237-267,Prohormone Convertase 2,,,,,,,,,,,,,,,,F,F,T,F,T,F,F,T,F,
,F,ANGPTL8 (EG624219),Betatrophin (Angiopoietin-like protein 8),angiopoietin like 8; Angiopoietin-like protein 8; ANGL8; ANGPTL8; Betatrophin; betatrophin variant 1; betatrophin variant 2; C19orf80; EG624219; hepatocellular carcinoma-associated gene TD26; Hepatocellular carcinoma-associated protein TD26; Lipasin; LOC55908; PRO1185; PVPA599; Refeeding-induced fat and liver protein; RIFL; TD2,Protein,"22,105",22-198 (Angiopoietin-like protein 8),,,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,BMP1,Bone morphogenetic protein 1,BMP-1; BMP1; Bone morphogenetic protein 1; FLJ44432; Mammalian tolloid protein; mTld; OI13; PCOLC; PCP; PCP2; procollagen C-endopeptidase; Procollagen C-proteinase; procollagen C-proteinase 3; TLD; tolloid-like,Protein,"111,249",121-986,,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,BMP2,Bone morphogenetic protein 2,BDA2; BMP-2; BMP-2A; BMP2; BMP2A; Bone morphogenetic protein 2; Bone morphogenetic protein 2A; SSFSC,Protein,"44,702",283-396 (Bone morphogenetic protein 2),Proprotein convertase subtilisin/kexin type 5,,,,,,,,,,,,,,,,F,T,F,T,T,F,F,T,F,
,F,BMP3,Bone morphogenetic protein 3,BMP-3; BMP-3A; BMP3; BMP3A; Bone morphogenetic protein 3; bone morphogenetic protein 3 (osteogenic); Bone morphogenetic protein 3A; bone morphogenetic protein-3; Osteogenin,Protein,"53,372",363 – 472,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP4,Bone morphogenetic protein 4,BMP-2B; BMP-4; BMP2B; BMP2B1; BMP4; Bone morphogenetic protein 2B; Bone morphogenetic protein 4; DVR4; MCOPS6; OFC11; ZYME,Protein,"46,555",293 – 408,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP5,Bone morphogenetic protein 5,BMP-5,Protein,"51,737",317-454,Furin,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP6,Bone morphogenetic protein 6,BMP-6; BMP6; Bone morphogenetic protein 6; vegetal related growth factor (TGFB-related); vegetal-related (TGFB related) cytokine; VG-1-R; VG-1-related protein; Vg1-related sequence; VGR; VGR-1; VGR1,Protein,"57,226",375-513,Furin/subtilisin proprotein convertases,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP7,Bone morphogenetic protein 7,BMP-7; BMP7; Bone morphogenetic protein 7; Eptotermin alfa; OP-1; OP1; Osteogenic protein 1,Protein,"49,313",293-431,PCSK6,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP8a,Bone morphogenetic protein 8a,BMP-8A; BMP8A; Bone morphogenetic protein 8A; FLJ14351; FLJ45264; OP-2,Protein,"44,798",264-402,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP8b,Bone morphogenetic protein 8b,BMP-8; BMP-8B; BMP8; BMP8B; bone morphogenetic protein 8 (osteogenic protein 2); Bone morphogenetic protein 8B; dJ118J21.1 (bone morphogenetic protein 8 (osteogenic protein 2)); MGC131757; OP-2; OP2; Osteogenic protein 2,Protein,"44,768",264-402,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP10,Bone morphogenetic protein 10,BMP-10; BMP10; Bone morphogenetic protein 10; MGC126783,Protein,"48,047",317-424,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP10,Bone morphogenetic protein 10,BMP-10; BMP10; Bone morphogenetic protein 10; MGC126783,Protein,"48,047",317-424,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP10,Bone morphogenetic protein 10,BMP-10; BMP10; Bone morphogenetic protein 10; MGC126783,Protein,"48,047",317-424,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,BMP15 (GDF9B),Bone morphogenetic protein 15,BMP-15; BMP15; Bone morphogenetic protein 15; GDF-9B; GDF9B; Growth/differentiation factor 9B; ODG2; POF4,Protein,"45,055",268 – 392,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
58-82-2,T,BK,Bradykinin," (2S)-2-{ (12S,32S,9S,12S,142S,17S)-11-[ (2S)-2-Amino-5- (carbamimidoylamino)pentanoyl]-9-benzyl-12- (hydroxymethyl)-2,4,7,10,13,15-hexaoxo-5,8,11,16-tetraaza-1 (2),3,14 (1,2)-tripyrrolidina-19-benzenanonadecaphane-17-carboxamido}-5- (carbamimidoylamino)pentanoic acid",Small molecule,,,,"1,060.23",439201,388341,ChEMBL406291,https://commonchemistry.cas.org/detail?cas_rn=58-82-2&search=58-82-2,http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439201,http://www.chemspider.com/Chemical-Structure.388341.html,https://www.ebi.ac.uk/chembldb/index.php/compound/inspect/ChEMBL406291,,"KLK1,KLK2,KLK3,KLK4,KLK5,KLK6,KLK7,KLK8,KLK9,KLK10,KLK11,KLK12,KLK13,KLK14,KLK15","Kallikrein-1,Kallikrein-2,Kallikrein-3,Kallikrein-4,Kallikrein-5,Kallikrein-6,Kallikrein-7,Kallikrein-8,Kallikrein-9,Kallikrein-10,Kallikrein-11,Kallikrein-12,Kallikrein-13,Kallikrein-14,Kallikrein-15",Neurosin; Protease M; SP59; Serine protease 18; Serine protease 9; Zyme,"P06870,P20151,P07288,Q9Y5K2,Q9Y337,Q92876,P49862,O60259,Q9UKQ9,O43240,Q9UBX7,Q9UKR0,Q9UKR3,Q9P0G3,Q9H2R5",,,F,F,T,F,T,F,F,T,F,
,F,BNP,Brain natriuretic peptide,BNP-32  BMP-5; BMP5; Bone morphogenetic protein 5; Brain natriuretic peptide 32; B-type natriuretic peptide; natriuretic peptide B; Gamma-brain natriuretic peptide; MGC34244; ventricular natriuretic peptide,Protein,"14,726",27-134 (Natriuretic peptides B); 103-134 (Brain natriuretic peptide 32); 103-132 BNP(1-30); 103 – 131 BNP(1-29); 103 – 130 BNP(1-28); 104 – 133 BNP(2-31); 105 – 134 BNP(3-32); 105 – 132 BNP(3-30); 105 – 131 BNP(3-29); 106 – 134 BNP(4-32); 106 – 133 BNP(4-31); 106 – 132 BNP(4-30); 106 – 131 BNP(4-29); 106 – 129 BNP(4-27); 107 – 134 BNP(5-32); 107 – 133 BNP(5-31); 107 – 131 BNP(5-29),"atrial natriuretic peptide-converting enzyme,Prolyl endopeptidase FAP,?Furin",,,,,,,,,,,,,,,,T,F,F,F,T,F,F,T,F,
,F,BDNF,Brain-derived neurotrophic factor,Abrineurin; ANON2; BDNF; BDNF precursor form; brain derived neurotrophic factor; Brain-derived neurotrophic factor; BULN2; MGC34632; neurotrophin; ProBDNF,Protein,27818,129 – 247,Plasmin,,,,,,,,,,,,,,,,F,F,F,T,T,F,F,T,F,
,F,CCL1,C-C motif chemokine 1,"C-C motif chemokine 1; C-C motif chemokine ligand 1; CCL1; chemokine (C-C motif) ligand 1; I-309; inflammatory cytokine I-309; P500; SCYA1; SISe; small inducible cytokine A1 (I-309,homologous to mouse Tca-3); Small-inducible cytokine A1; T lymphocyte-secreted protein I-309; TCA3",Protein,"10,992",24 – 96,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL2,C-C motif chemokine 2,"C-C motif chemokine 2; C-C motif chemokine ligand 2; CCL2; chemokine (C-C motif) ligand 2; GDCF-2; HC11; HSMCR30; MCAF; MCP-1; MCP1; Monocyte chemoattractant protein 1; monocyte chemoattractant protein-1; Monocyte chemotactic and activating factor; Monocyte chemotactic protein 1; Monocyte secretory protein JE; SCYA2; small inducible cytokine A2 (monocyte chemotactic protein 1,homologous to mouse Sig-je); small inducible cytokine subfamily A (Cys-Cys),member 2; Small-inducible cytokine A2; SMC-CF",Protein,"11,025",24 – 99,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL3 (MIP1A),C-C motif chemokine 3,C-C motif chemokine 3; C-C motif chemokine ligand 3; CCL3; G0/G1 switch regulatory protein 19-1; G0S19-1; LD78-alpha (4-69); LD78ALPHA; Macrophage inflammatory protein 1-alpha; MIP-1-alpha; MIP-1-alpha (4-69); MIP1A; PAT 464.1; SCYA3; SIS-beta; small inducible cytokine A3 (homologous to mouse Mip-1a); Small-inducible cytokine A3; Tonsillar lymphocyte LD78 alpha protein,Protein,"10,085",24 – 92 (CCL3); 27 – 92 (MIP-1 alpha(4-69)),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL4 (MIP1B),C-C motif chemokine 4,ACT-2; ACT2; AT744.1; C-C motif chemokine 4; C-C motif chemokine ligand 4; CCL4; chemokine (C-C motif) ligand 4; G-26; G-26 T-lymphocyte-secreted protein; HC21; LAG-1; LAG1; Lymphocyte activation gene 1 protein; Macrophage inflammatory protein 1-beta; MIP-1-beta; MIP-1-beta (1-69); MIP-1-beta (3-69); MIP1B; MIP1B1; PAT 744; Protein H400; SCYA2; SCYA4; secreted protein G-26; SIS-gamma; small inducible cytokine A4 (homologous to mouse Mip-1b); Small-inducible cytokine A4; T-cell activation protein 2,Protein,"10,212",24-92; MIP1B isoform: 26-92,CD26/DPPIV,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL5,C-C motif chemokine 5,"beta-chemokine RANTES; C-C motif chemokine 5; C-C motif chemokine ligand 5; CCL5; chemokine (C-C motif) ligand 5; D17S136E; EoCP; Eosinophil chemotactic cytokine; MGC17164; RANTES; RANTES(3-68); RANTES(4-68); regulated upon activation,normally T-expressed,and presumably secreted; SCYA5; SIS-delta; SISd; small inducible cytokine A5 (RANTES); small inducible cytokine subfamily A (Cys-Cys),member 5; Small-inducible cytokine A5; T cell-specific protein P228; T-cell specific protein p288; T-cell-specific protein RANTES; TCP228",Protein,"9,990",24-91,Serine protease CD26,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL7,C-C motif chemokine 7,C-C motif chemokine 7; C-C motif chemokine ligand 7; CCL7; chemokine (C-C motif) ligand 7; FIC; MARC; MCP-3; MCP3; monocyte chemoattractant protein 3; monocyte chemotactic protein 3; NC28; SCYA6; SCYA7; small inducible cytokine A7 (monocyte chemotactic protein 3); small-inducible cytokine,Protein,"11,200",24-99,MMP-2,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL8,C-C motif chemokine 8,"C-C motif chemokine 8; C-C motif chemokine ligand 8; CCL8; chemokine (C-C motif) ligand 8; HC14; MCP-2; MCP-2 (6-76); MCP2; Monocyte chemoattractant protein 2; Monocyte chemotactic protein 2; SCYA10; SCYA8; small inducible cytokine subfamily A (Cys-Cys),member 8 (monocyte chemotactic protein 2); Small-inducible cytokine A8",Protein,"11,246",24-99,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL13,C-C motif chemokine 13,"C-C motif chemokine 13; C-C motif chemokine 13,long chain; C-C motif chemokine 13,medium chain; C-C motif chemokine 13,short chain; C-C motif chemokine ligand 13; CCL13; chemokine (C-C motif) ligand 13; CK-beta-10; CKb10; MCP-4; MCP4; MGC17134; Monocyte chemoattractant protein 4; Monocyte chemotactic protein 4; NCC-1; NCC1; new CC chemokine 1; SCYA13; SCYL1; small inducible cytokine subfamily A (Cys-Cys),member 13; Small-inducible cytokine A13",Protein,"10,986",17-98,"Mast cell chymase,neutrophil elastase and cathepsin G",,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL14,C-C motif chemokine 14,"C-C motif chemokine 14; C-C motif chemokine ligand 14; CC-1; CC-3; CCL14; chemokine (C-C motif) ligand 14; chemokine CC-1; Chemokine CC-1/CC-3; chemokine CC-3; CKb1; FLJ16015; HCC-1; HCC-1(1-74); HCC-1(3-74); HCC-1(4-74); HCC-1(9-74); HCC-1/HCC-3; HCC-3; hemofiltrate CC chemokine 1; MCIF; NCC-2; NCC2; new CC chemokine 2; SCYA14; SCYL2; small inducible cytokine subfamily A (Cys-Cys),member 14; Small-inducible cytokine A14; SY14",Protein,"10,678",20-93,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL15,C-C motif chemokine 15,"C-C motif chemokine 15; C-C motif chemokine ligand 15; CC chemokine 3; CCL15; CCL15 (22-92); CCL15 (25-92); CCL15 (29-92); chemokine (C-C motif) ligand 15; chemokine CC-2; HCC-2; HMRP-2B; leukotactin 1; Leukotactin-1; LKN-1; LKN1; macrophage inflammatory protein 5; MIP-1 delta; MIP-1D; MIP-5; MIP5; mrp-2b; NCC-3; NCC3; new CC chemokine 3; SCYA15; SCYL3; small inducible cytokine subfamily A (Cys-Cys),member 15; small-inducible cytokine A15; SY15",Protein,"12,248","22-92,25-92,29-92 ",,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL16,C-C motif chemokine 16,"C-C motif chemokine 16; C-C motif chemokine ligand 16; CCL16; chemokine (C-C motif) ligand 16; Chemokine CC-4; Chemokine LEC; CKb12; HCC-4; IL-10-inducible chemokine; ILINCK; LCC-1; LEC; liver CC chemokine-1; Liver-expressed chemokine; LMC; Lymphocyte and monocyte chemoattractant; Monotactin-1; MTN-1; NCC-4; NCC4; new CC chemokine 4; SCYA16; SCYL4; small inducible cytokine subfamily A (Cys-Cys),member 16; Small-inducible cytokine A16",Protein,"13,600",24-120,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL16,C-C motif chemokine 16,"C-C motif chemokine 16; C-C motif chemokine ligand 16; CCL16; chemokine (C-C motif) ligand 16; Chemokine CC-4; Chemokine LEC; CKb12; HCC-4; IL-10-inducible chemokine; ILINCK; LCC-1; LEC; liver CC chemokine-1; Liver-expressed chemokine; LMC; Lymphocyte and monocyte chemoattractant; Monotactin-1; MTN-1; NCC-4; NCC4; new CC chemokine 4; SCYA16; SCYL4; small inducible cytokine subfamily A (Cys-Cys),member 16; Small-inducible cytokine A16",Protein,"13,600",24-120,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL17,C-C motif chemokine 17,"A-152E5.3; ABCD-2; C-C motif chemokine 17; C-C motif chemokine ligand 17; CC chemokine TARC; CCL17; chemokine (C-C motif) ligand 17; MGC138271; MGC138273; SCYA17; small inducible cytokine subfamily A (Cys-Cys),member 17; Small-inducible cytokine A17; T cell-directed CC chemokine; TARC; Thymus and activation-regulated chemokine",Protein,"10,507",24-94,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL18,C-C motif chemokine 18,"Alternative macrophage activation-associated CC chemokine 1; AMAC-1; AMAC1; C-C motif chemokine 18; C-C motif chemokine ligand 18; CC chemokine ligand 18; CC chemokine PARC; CCL18; CCL18 (1-68); CCL18 (3-69); CCL18 (4-69); chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated); chemokine (C-C),dendritic; CKb7; DC-CK1; DCCK1; Dendritic cell chemokine 1; Macrophage inflammatory protein 4; MIP-4; MIP4; PARC; Pulmonary and activation-regulated chemokine; SCYA18; small inducible cytokine A18; small inducible cytokine subfamily A (Cys-Cys),member 18,pulmonary and activation-regulated; Small-inducible cytokine A18",Protein,"9,849",21 – 89(C-C motif chemokine 18); 21 – 88 (CCL18(1-68)); 23 – 89 (CCL18(3-69)); 24 – 89 (CCL18(4-69)),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL19,C-C motif chemokine 19,"Beta chemokine exodus-3; Beta-chemokine exodus-3; C-C motif chemokine 19; C-C motif chemokine ligand 19; CC chemokine ligand 19; CCL19; chemokine (C-C motif) ligand 19; CK beta-11; CKb11; EBI1 ligand chemokine; EBI1-ligand chemokine; ELC; Epstein-Barr virus-induced molecule 1 ligand chemokine; exodus-3; Macrophage inflammatory protein 3 beta; macrophage inflammatory protein 3-beta; MGC34433; MIP-3-beta; MIP-3b; MIP3B; SCYA19; small inducible cytokine subfamily A (Cys-Cys),member 19; Small-inducible cytokine A19",Protein,"10,993",22-98 (C-C motif chemokine 19),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL20,C-C motif chemokine 20,"beta chemokine exodus-1; Beta-chemokine exodus-1; C-C motif chemokine 20; C-C motif chemokine ligand 20; CC chemokine LARC; CCL20; CCL20 (1-64); CCL20 (1-67); CCL20 (2-70); chemokine (C-C motif) ligand 20; CKb4; Exodus; LARC; Liver and activation-regulated chemokine; Macrophage inflammatory protein 3 alpha; MIP-3-alpha; MIP-3a; MIP3A; SCYA20; small inducible cytokine subfamily A (Cys-Cys),member 20; Small-inducible cytokine A20; ST38",Protein,"10,762",27 – 96,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL21,C-C motif chemokine 21,"6Ckine; Beta chemokine exodus-2; Beta-chemokine exodus-2; C-C motif chemokine 21; C-C motif chemokine ligand 21; CCL21; chemokine (C-C motif) ligand 21; CKb9; ECL; Efficient Chemoattractant for Lymphocytes; exodus-2; MGC34555; SCYA21; secondary lymphoid tissue chemokine; Secondary lymphoid-tissue chemokine; SLC; small inducible cytokine subfamily A (Cys-Cys),member 21; Small-inducible cytokine A21; TCA4",Protein,"14,646",24-134,Plasmin,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL22,C-C motif chemokine 22,"A-152E5.1; ABCD-1; C-C motif chemokine 22; C-C motif chemokine ligand 22; CC chemokine STCP-1; CCL22; chemokine (C-C motif) ligand 22; DC/B-CK; Macrophage-derived chemokine; MDC; MDC (1-69); MDC (3-69); MDC (5-69); MDC (7-69); SCYA22; small inducible cytokine A22; small inducible cytokine subfamily A (Cys-Cys),member 22; Small-inducible cytokine A22; STCP-1; stimulated T cell chemotactic protein 1; Stimulated T-cell chemotactic protein 1",Protein,"10,625",25-93,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL23 (CCL6),C-C motif chemokine 23,"C-C motif chemokine 23; C-C motif chemokine ligand 23; C6 beta-chemokine; CCL23; CCL23(19-99); CCL23(22-99); CCL23(27-99); CCL23(30-99); CCL6; chemokine (C-C motif) ligand 23; CK-beta-8; CKB-8; Ckb-8-1; CKb8; hmrp-2a; Macrophage inflammatory protein 3; MIP-3; MIP3; MPIF-1; MPIF1; Myeloid progenitor inhibitory factor 1; SCYA23; small inducible cytokine subfamily A (Cys-Cys),member 23; Small-inducible cytokine A23",Protein,"13,411","19-99,22-99,27-99,30-99",,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL24,C-C motif chemokine 24,"C-C motif chemokine 24; C-C motif chemokine ligand 24; CCL24; chemokine (C-C motif) ligand 24; CK-beta-6; Ckb-6; Eosinophil chemotactic protein 2; Eotaxin-2; MPIF-2; MPIF2; Myeloid progenitor inhibitory factor 2; SCYA24; small inducible cytokine subfamily A (Cys-Cys),member 24; Small-inducible cytokine A24",Protein,"13,134",27-119,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL25,C-C motif chemokine 25,"C-C motif chemokine 25; C-C motif chemokine ligand 25; CCL25; chemokine (C-C motif) ligand 25; Chemokine TECK; Ck beta-15; Ckb15; MGC150327; SCYA25; small inducible cytokine subfamily A (Cys-Cys),member 25; Small-inducible cytokine A25; TECK; TECKvar; thymus expressed chemokine; Thymus-expressed chemokine",Protein,"16,609",24-150,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL26,C-C motif chemokine 26,CC chemokine IMAC; Eotaxin-3; Macrophage inflammatory protein 4-alpha (MIP-4-alpha); Small-inducible cytokine A26; Thymic stroma chemokine-1 (TSC-1),Protein,"10,648",24 – 94,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL27,C-C motif chemokine 27,"ALP; C-C motif chemokine 27; C-C motif chemokine ligand 27; CC chemokine ILC; CCL27; chemokine (C-C motif) ligand 27; CTACK; CTAK; cutaneous T-cell attracting chemokine; Cutaneous T-cell-attracting chemokine; ESkine; IL-11 R-alpha-locus chemokine; IL-11 Ralpha-locus chemokine; ILC; PESKY; SCYA27; Skinkine; small inducible cytokine subfamily A (Cys-Cys),member 27; Small-inducible cytokine A27",Protein,"12,618",25-112 (C-C motif chemokine 27),,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CCL28,C-C motif chemokine 28,"C-C motif chemokine 28; C-C motif chemokine ligand 28; CC chemokine CCL28; CCK1; CCL28; chemokine (C-C motif) ligand 28; chemokine (C-C motif) ligand 28 splice variant chi; MEC; MGC71902; Mucosae-associated epithelial chemokine; Protein CCK1; SCYA28; small inducible cytokine A28; small inducible cytokine subfamily A (Cys-Cys),member 28; Small-inducible cytokine A28",Protein,"14,280",20 – 127,,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
,F,CXCL1,C-X-C motif chemokine 1 (Growth-regulated alpha protein),"C-X-C motif chemokine 1; C-X-C motif chemokine ligand 1; chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity,alpha); CXCL1; fibroblast secretory protein; FSP; GRO; GRO-alpha(1-73); GRO-alpha(4-73); GRO-alpha(5-73); GRO-alpha(6-73); GRO1; GRO1 oncogene (melanoma growth stimulating activity,alpha); GRO1 oncogene (melanoma growth-stimulating activity); GROA; Growth-regulated alpha protein; melanoma growth stimulating activity,alpha; Melanoma growth stimulatory activity; melanoma growth stimulatory activity alpha; MGSA; MGSA alpha; MGSA-a; NAP-3; Neutrophil-activating protein 3; SCYB1",Protein,"11,301",35-107 (Growth-regulated alpha protein); 38-107 (GRO-alpha(4-73)); 39-107(GRO-alpha(5-73)); 40-107 (GRO-alpha(6-73)),Cathepsin K; Cathespin L; Cathepsin S,,,,,,,,,,,,,,,,F,T,F,F,T,F,F,T,F,
