B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8IWL3,F,F,F,T,Chaperone protein,HSCB,Iron-sulfur cluster co-chaperone protein HscB,"C-HSC20; dJ366L4.2; DnaJ (Hsp40) homolog,subfamily C,member 20; DnaJ homolog subfamily C member 20; DNAJC20; epididymis secretory sperm binding protein; HSC20; HSCB; HscB iron-sulfur cluster co-chaperone homolog; HscB iron-sulfur cluster co-chaperone homolog (E. coli); HscB mitochondrial iron-sulfur cluster co-chaperone; HscB mitochondrial iron-sulfur cluster cochaperone; Iron-sulfur cluster co-chaperone protein HscB; Iron-sulfur cluster co-chaperone protein HscB,cytoplasmic; Iron-sulfur cluster co-chaperone protein HscB,mitochondrial; J-type co-chaperone HSC20; JAC1; MGC2637; MGC74462",,"27,422","Acts as a co-chaperone in iron-sulfur cluster assembly in both mitochondria and the cytoplasm. Required for incorporation of iron-sulfur clusters into SDHB,the iron-sulfur protein subunit of succinate dehydrogenase that is involved in complex II of the mitochondrial electron transport chain. Recruited to SDHB by interaction with SDHAF1 which first binds SDHB and then recruits the iron-sulfur transfer complex formed by HSC20,HSPA9 and ISCU through direct binding to HSC20. Also mediates complex formation between components of the cytosolic iron-sulfur biogenesis pathway and the CIA targeting complex composed of CIAO1,DIPK1B/FAM69B and MMS19 by binding directly to the scaffold protein ISCU and to CIAO1. This facilitates iron-sulfur cluster insertion into a number of cytoplasmic and nuclear proteins including POLD1,ELP3,DPYD and PPAT. Belongs to the HscB family. Expressed in lung,brain,stomach,spleen,ovary,testis,liver,muscle and heart.",http://www.phosphonet.ca/default.aspx?search=Q8IWL3,,,,https://www.uniprot.org/uniprotkb/Q8IWL3/entry,2473382,https://www.phosphosite.org/proteinAction.action?id=2473382&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0DMV8,F,F,F,T,Chaperone protein,HSP70,Heat shock 70 kDa protein 1A,dnaK-type molecular chaperone HSP70-1; epididymis secretory protein Li 103; epididymis secretory sperm binding protein; Heat shock 70 kDa protein 1; Heat shock 70 kDa protein 1/2; Heat shock 70 kDa protein 1A; Heat shock 70 kDa protein 1A/1B; Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 2; heat shock 70kD protein 1A; heat shock 70kD protein 1A/1B; heat shock 70kDa protein 1A; heat shock 70kDa protein 1A/1B; Heat Shock Protein 70; heat shock protein family A (Hsp70) member 1A; heat shock-induced protein; HEL-S-103; HS71A; HSP70; HSP70-1; HSP70-1/HSP70-2; HSP70-1A; HSP70-2; HSP70.1; HSP70.1/HSP70.2; HSP70.2; HSP70I; HSP71; HSP72; HSPA1; HSPA1A; HSPA1B; HSX70,,"70,052","a critical chaperone protein of the heat shock protein 70 family. Implicated in a wide variety of cellular processes,including protection of the proteome from stress,folding and transport of newly synthesized polypeptides,activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. It binds extended peptide segments with a net hydrophobic character exposed by polypeptides during translation and membrane translocation,or following stress-induced damage. Plays a pivotal role in the protein quality control system,ensuring the correct folding of proteins,the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation. This is achieved through cycles of ATP binding,ATP hydrolysis and ADP release,mediated by co-chaperones. The co-chaperones are of three types: J-domain co-chaperones such as HSP40s (stimulate ATPase hydrolysis by HSP70),the nucleotide exchange factors (NEF) such as BAG1/2/3 (facilitate conversion of HSP70 from the ADP-bound to the ATP-bound state thereby promoting substrate release),and the TPR domain chaperones such as HOPX and STUB1. Its acetylation/deacetylation state determines whether it functions in protein refolding or protein degradation by controlling the competitive binding of co-chaperones HOPX and STUB1. During the early stress response,the acetylated form binds to HOPX which assists in chaperone-mediated protein refolding,thereafter,it is deacetylated and binds to ubiquitin ligase STUB1 that promotes ubiquitin-mediated protein degradation. Regulates centrosome integrity during mitosis,and is required for the maintenance of a functional mitotic centrosome that supports the assembly of a bipolar mitotic spindle. Enhances STUB1-mediated SMAD3 ubiquitination and degradation and facilitates STUB1-mediated inhibition of TGF-beta signaling. Essential for STUB1-mediated ubiquitination and degradation of FOXP3 in regulatory T-cells (Treg) during inflammation. 2 alternatively spliced human isoforms have been reported.",http://www.phosphonet.ca/default.aspx?search=P0DMV8,,,,https://www.uniprot.org/uniprotkb/P0DMV8/entry,4627,https://www.phosphosite.org/proteinAction.action?id=4627&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P07900,F,F,F,T,Chaperone protein,HSP90A,Heat shock protein HSP 90-alpha,"EL52; epididymis luminal secretory protein 52; epididymis secretory sperm binding protein Li 65p; FLJ31884; Heat shock 86 kDa; heat shock 90kD protein 1,alpha; heat shock 90kD protein 1,alpha-like 4; heat shock 90kD protein,Alpha-like 4; heat shock 90kDa protein 1,alpha; heat shock protein 90 alpha family class A member 1; heat shock protein 90kDa alpha (cytosolic),class A member 1; heat shock protein 90kDa alpha family class A member 1; Heat shock protein HSP 90-alpha; HEL-S-65p; HS90A; HSP 86; Hsp103; HSP86; Hsp89; HSP89A; Hsp90; HSP90A; HSP90AA1; HSP90N; HSPC1; HSPCA; HSPCAL1; HSPCAL4; HSPN; LAP-2; LAP2; Lipopolysaccharide-associated protein 2; LPS-associated protein 2; Renal carcinoma antigen NY-REN-38",,"84,660","a molecular chaperone of the heat shock protein 90 family that promotes the maturation,structural maintenance and proper regulation of specific target proteins. Undergoes a functional cycle that is linked to its ATPase activity which is essential for its chaperone activity. Recruitment of ATP and co-chaperone followed by client protein forms a functional chaperone. After the completion of the chaperoning process,properly folded client protein and co-chaperone leave HSP90 in an ADP-bound partially open conformation and finally,ADP is released from HSP90 which acquires an open conformation for the next cycle. Known to interact with a wide variety of proteins including steroid hormone receptors,neuropeptide Y,FKBP51/54,and FKBP52. G protein-coupled receptor kinases are stabilized by interacting with HSP 90. Hsp70 and Hsp90 promote tau solubility and tau binding to microtubules,reducing insoluble tau phosphorylation of tau. Apart from its chaperone activity,it also plays a role in the regulation of the transcription machinery. HSP90 and its co-chaperones modulate transcription at least at three different levels. In the first place,they alter the steady-state levels of certain transcription factors in response to various physiological cues. Second,they modulate the activity of certain epigenetic modifiers,such as histone deacetylases or DNA methyl transferases,and thereby respond to the change in the environment. Third,they participate in the eviction of histones from the promoter region of certain genes and thereby turn on gene expression.",http://www.phosphonet.ca/default.aspx?search=P07900,,http://www.onconet.ca/Report/index?query=Cancer+Protein+Description&searchTerm=P07900,http://www.drugpronet.ca/ProteinInfoResult.aspx?query_string=P07900,https://www.uniprot.org/uniprotkb/P07900/entry,1179,https://www.phosphosite.org/proteinAction.action?id=1179&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P08238,F,F,F,T,Chaperone protein,HSP90AB1 (HSP90B),Heat shock protein HSP 90-beta,"D6S182; FLJ26984; Heat shock 84 kDa; heat shock 90kD protein 1,beta; heat shock 90kDa protein 1,beta; heat shock protein 90 alpha family class B member 1; heat shock protein 90 kDa; heat shock protein 90kDa alpha (cytosolic),class B member 1; heat shock protein 90kDa alpha family class B member 1; heat shock protein beta; Heat shock protein HSP 90-beta; HS90B; HSP 84; HSP 90; HSP84; HSP90-BETA; HSP90AB1; HSP90B; HSPC2; HSPCB",,"83,264","Molecular chaperone that promotes the maturation,structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity. This cycle probably induces conformational changes in the client proteins,thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition,ATPase cycle and chaperone function. Engages with a range of client protein classes via its interaction with various co-chaperone proteins or complexes,that act as adapters,simultaneously able to interact with the specific client and the central chaperone itself. Recruitment of ATP and co-chaperone followed by client protein forms a functional chaperone. After the completion of the chaperoning process,properly folded client protein and co-chaperone leave HSP90 in an ADP-bound partially open conformation and finally,ADP is released from HSP90 which acquires an open conformation for the next cycle. Apart from its chaperone activity,it also plays a role in the regulation of the transcription machinery. HSP90 and its co-chaperones modulate transcription at least at three different levels. In the first place,they alter the steady-state levels of certain transcription factors in response to various physiological cues. Second,they modulate the activity of certain epigenetic modifiers,such as histone deacetylases or DNA methyl transferases,and thereby respond to the change in the environment. Third,they participate in the eviction of histones from the promoter region of certain genes and thereby turn on gene expression. Antagonizes STUB1-mediated inhibition of TGF-beta signaling via inhibition of STUB1-mediated SMAD3 ubiquitination and degradation. Promotes cell differentiation by chaperoning BIRC2 and thereby protecting from auto-ubiquitination and degradation by the proteasomal machinery. Main chaperone that is involved in the phosphorylation/activation of the STAT1 by chaperoning both JAK2 and PRKCE under heat shock and in turn,activates its own transcription. Belongs to the heat shock protein 90 family.",http://www.phosphonet.ca/default.aspx?search=P08238,,http://www.onconet.ca/Report/index?query=Cancer+Protein+Description&searchTerm=P08238,,https://www.uniprot.org/uniprotkb/P08238/entry,2993,https://www.phosphosite.org/proteinAction.action?id=2993&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,PN520,https://kinexus-ca.myshopify.com/products/ab-PN520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99832,F,F,F,T,Chaperone protein,CCT7,T-complex protein 1 subunit eta,"CCT-eta; CCT7; CCTETA; CCTH; chaperonin containing t-complex polypeptide 1,eta subunit; chaperonin containing TCP1 subunit 7; chaperonin containing TCP1,subunit 7 (eta); HIV-1 Nef interacting protein; HIV-1 Nef-interacting protein; MGC110985; NIP7-1; T-complex protein 1 subunit eta; T-complex protein 1 subunit eta,N-terminally processed; TCP-1-eta; TCP1ETA; TCPH",,"59,367","Component of the chaperonin-containing T-complex (TRiC),a molecular chaperone complex that assists the folding of proteins upon ATP hydrolysis. The TRiC complex mediates the folding of WRAP53/TCAB1,thereby regulating telomere maintenance. The TRiC complex plays a role in the folding of actin and tubulin. Belongs to the TCP-1 chaperonin family.",http://www.phosphonet.ca/default.aspx?search=Q99832,,,,https://www.uniprot.org/uniprotkb/Q99832/entry,13244,https://www.phosphosite.org/proteinAction.action?id=13244&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16543,F,F,F,T,Chaperone protein,CDC37,Hsp90 co-chaperone Cdc37,"CDC37; CDC37 (cell division cycle 37,S. cerevisiae,homolog); CDC37 cell division cycle 37 homolog; CDC37A; cell division cycle 37 homolog; cell division cycle 37 homolog (S. cerevisiae); cell division cycle 37 protein; cell division cycle 37,HSP90 cochaperone; Hsp90 chaperone protein kinase-targeting subunit; Hsp90 co-chaperone Cdc37; Hsp90 co-chaperone Cdc37,N-terminally processed; p50Cdc37",,"44,468","Co-chaperone that binds to numerous kinases and promotes their interaction with the Hsp90 complex,resulting in stabilization and promotion of their activity. Inhibits HSP90AA1 ATPase activity. Belongs to the CDC37 family.",http://www.phosphonet.ca/default.aspx?search=Q16543,,http://www.onconet.ca/Report/index?query=Cancer+Protein+Description&searchTerm=Q16543,,https://www.uniprot.org/uniprotkb/Q16543/entry,3782,https://www.phosphosite.org/proteinAction.action?id=3782&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P31948,F,F,F,T,Chaperone protein,STI1,Stress-induced-phosphoprotein 1,Epididymis secretory sperm binding protein Li 94n; HEL-S-94n; Hop; Hsc70/Hsp90-organizing protein; Hsp70/Hsp90-organizing protein; IEF-SSP-3521; NY-REN-11 antigen; P60; Renal carcinoma antigen NY-REN-11; STI1; STI1L; STIP1; stress induced phosphoprotein 1; Stress-induced-phosphoprotein 1; stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein); Transformation-sensitive protein IEF SSP 3521,,"62,639",Acts as a co-chaperone for HSP90AA1. Mediates the association of the molecular chaperones HSPA8/HSC70 and HSP90. 3 alternatively spliced human isoforms have been reported.,http://www.phosphonet.ca/default.aspx?search=P31948,,,,https://www.uniprot.org/uniprotkb/P31948/entry,2638,https://www.phosphosite.org/proteinAction.action?id=2638&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P17987,F,F,F,T,Chaperone protein,TCP1,T-complex protein 1 subunit alpha,"CCT-alpha; CCT1; CCTA; D6S230E; t-complex 1; t-complex 1 protein; T-complex protein 1 subunit alpha; T-complex protein 1,alpha subunit; tailless complex polypeptide 1; TCP-1-alpha; TCP1; TCPA",,"60,344","Component of the chaperonin-containing T-complex (TRiC),a molecular chaperone complex that assists the folding of proteins upon ATP hydrolysis. The TRiC complex mediates the folding of WRAP53/TCAB1,thereby regulating telomere maintenance. As part of the TRiC complex may play a role in the assembly of BBSome,a complex involved in ciliogenesis regulating transports vesicles to the cilia. The TRiC complex plays a role in the folding of actin and tubulin. Belongs to the TCP-1 chaperonin family.",http://www.phosphonet.ca/default.aspx?search=P17987,,,,https://www.uniprot.org/uniprotkb/P17987/entry,8013,https://www.phosphosite.org/proteinAction.action?id=8013&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q96DA6,F,F,F,T,"Chaperone protein,Mitochondrial",DNAJC19,Mitochondrial import inner membrane translocase subunit TIM14,"DnaJ (Hsp40) homolog,subfamily C,member 19; DnaJ heat shock protein family (Hsp40) member C19; DnaJ homolog subfamily C member 19; DnaJ homolog,subfamily C,member 19; DnaJ-like protein subfamily C member 19; DNAJC19; homolog of yeast TIM14; Mitochondrial import inner membrane translocase subunit TIM14; PAM18; TIM14; TIMM14",,"12,499","Probable component of the PAM complex,a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. May act as a co-chaperone that stimulate the ATP-dependent activity. Belongs to the TIM14 family.",http://www.phosphonet.ca/default.aspx?search=Q96DA6,,,,https://www.uniprot.org/uniprotkb/Q96DA6/entry,7429404,https://www.phosphosite.org/proteinAction.action?id=7429404&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q92575,F,F,F,T,"Chaperone protein,Ubiquitin conjugating system",UBXN4,UBX domain-containing protein 4,Erasin; FLJ23318; KIAA0242; KIAA2042; UBX domain containing 2; UBX domain protein 4; UBX domain-containing 1; UBX domain-containing protein 2; UBX domain-containing protein 4; UBXD2; UBXDC1; UBXN4,,"56,778",Involved in endoplasmic reticulum-associated protein degradation (ERAD). Acts as a platform to recruit both UBQLN1 and VCP to the ER during ERAD.,http://www.phosphonet.ca/default.aspx?search=Q92575,,,,https://www.uniprot.org/uniprotkb/Q92575/entry,9325,https://www.phosphosite.org/proteinAction.action?id=9325&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9BUN8,F,F,F,T,Chaperone protein; Multi-pass membrane protein,DERL1,Derlin-1,"Degradation in endoplasmic reticulum protein 1; DER-1; DER1; Der1-like domain family,member 1; Der1-like protein 1; DERL1; derlin 1; Derlin-1; DERtrin-1; FLJ13784; FLJ42092; MGC3067; PRO2577",,"28,801","Functional component of endoplasmic reticulum-associated degradation (ERAD) for misfolded lumenal proteins. May act by forming a channel that allows the retrotranslocation of misfolded proteins into the cytosol where they are ubiquitinated and degraded by the proteasome. May mediate the interaction between VCP and the misfolded protein. Also involved in endoplasmic reticulum stress-induced pre-emptive quality control,a mechanism that selectively attenuates the translocation of newly synthesized proteins into the endoplasmic reticulum and reroutes them to the cytosol for proteasomal degradation. By controlling the steady-state expression of the IGF1R receptor,indirectly regulates the insulin-like growth factor receptor signaling pathway. (Microbial infection) In case of infection by cytomegaloviruses,it plays a central role in the export from the ER and subsequent degradation of MHC class I heavy chains via its interaction with US11 viral protein,which recognizes and associates with MHC class I heavy chains. Also participates in the degradation process of misfolded cytomegalovirus US2 protein. Belongs to the derlin family.",http://www.phosphonet.ca/default.aspx?search=Q9BUN8,,,,https://www.uniprot.org/uniprotkb/Q9BUN8/entry,2612492,https://www.phosphosite.org/proteinAction.action?id=2612492&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9H819,F,F,F,T,Chaperone protein; Single-pass TM membrane protein,DNAJC18,DnaJ homolog subfamily C member 18,"DJC18; DnaJ (Hsp40) homolog,subfamily C,member 18; DnaJ heat shock protein family (Hsp40) member C18; DnaJ homolog subfamily C member 18; DNAJC18; MGC29463",,"41,551","In case of infection by polyomavirus,involved in the virus endoplasmic reticulum membrane penetration and infection. In case of infection by SV40,it r egulates the recruitment of DNAJB12:DNAJB14 into SV40-induced foci and all cooperate to guide SV40 across the endoplasmic reticulum membrane.",http://www.phosphonet.ca/default.aspx?search=Q9H819,,,,https://www.uniprot.org/uniprotkb/Q9H819/entry,5145560,https://www.phosphosite.org/proteinAction.action?id=5145560&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q15185,F,F,F,T,"Chaperone,Nuclear receptor co-regulator,Transferase",TEBP,Prostaglandin E synthase 3,"cPGES; cytosolic prostaglandin E synthase; Cytosolic prostaglandin E2 synthase; Hsp90 co-chaperone; P23; Progesterone receptor complex p23; Prostaglandin E synthase 3; prostaglandin E synthase 3 (cytosolic); PTGES3; TEBP; Telomerase-binding protein p23; unactive progesterone receptor,23 kD",,"18,697","Cytosolic prostaglandin synthase that catalyzes the oxidoreduction of prostaglandin endoperoxide H2 (PGH2) to prostaglandin E2 (PGE2). Molecular chaperone that localizes to genomic response elements in a hormone-dependent manner and disrupts receptor-mediated transcriptional activation,by promoting disassembly of transcriptional regulatory complexes. Facilitates HIF alpha proteins hydroxylation via interaction with EGLN1/PHD2,leading to recruit EGLN1/PHD2 to the HSP90 pathway.",http://www.phosphonet.ca/default.aspx?search=Q15185,,,,https://www.uniprot.org/uniprotkb/Q15185/entry,4821,https://www.phosphosite.org/proteinAction.action?id=4821&showAllSites=true,http://www.transcriptonet.ca/mRNASpec.aspx,https://string-db.org/cgi/input?,T,F,F,F,T,,,,,,,,,,,,,,,,,,,,,Metabolic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
