C1,C2,C3,C4,C5,C6,C7,C8,C13,C18,C23,C9,C19,C14,C24,C10,C15,C20,C25,C15,C11,C16,C21,C26,C12,C17,C22,C27,,,
O14944,,F,T,F,F,O14944,Adipose tissue - Omental*,Blood - Lymphoblastoid cells,Cervix - Epithelium*,Colon - Terminal ileum,Connective tissue - Layer of synovial tissue,Female gonad*,Lung *,Lung - Bronchial epithelium,Mouth - Epithelial cells*,Ovary*,Skeletal muscle cells*,Skin - Epidermis,Skin - Zone of skin,Thyroid,Tonsils - Tonsillar activated T-cells,Urinary bladder - Urothelium (epithelium) cells*,Vagina,,,,,,,
O15123,,F,T,F,F,O15123,Adipose tissue - Omental,Blood - Blood outgrowth endothelial cells,Blood - Microvessel cells - Endothelium cells*,Blood - Peripheral - Natural Killer (NK) lymphocytes*,Heart,"Heart - Right atrial appendage,left ventricular free wall - Myocardial cells",Intestine - Chorion villus*,Kidney,Lung - Microvascular - Endothelial cells,"Lung - Pulmonary artery endothelium cells,pulmonary microvessel endothelium cells",Lung - Visceral pleura*,Placenta*,Skin - Dermal - Endothelial cells*,Thoracic mammary gland,Thyroid*,Uterus,,,,,,,,
O15444,,F,T,F,F,O15444,Blood - Peripheral - B-lymphocytes and T-lymphocytes - CD8+ and CD4+*,Eye - Optic nerve head - Astrocytes,Intestine - Duodenum,Intestine - Ileum*,Intestine - Jejunum*,Intestine - Small*,Muscle - Skeletal - Myotubes,Thymus*,,,,,,,,,,,,,,,,
O15467,,F,T,F,F,O15467,Blood - Lymphoblastoid cells,"Blood - Naive T-cells CD8+,central memory T-cells CD8+*",Bone - Growth plate,"Colon - Ascending,sigmoid,terminal ileum*",Heart - Middle septum,Liver*,"Liver and biliary system,infiltrating lymphocyte*",Lung - Epithelial cells,Pharyxn - Nasopharyngeal epithelium,Stomach - Stomach cardia,Umbilical cord - Mast cells *,,,,,,,,,,,,,
O15520,,F,T,F,F,O15520,"Blood - CD4+,CD8+,NK cells,lymphocyte*",Breast - Mammary gland*,Bronchial Smooth Muscle*,"Heart - R atrial appendage,ventricle",Joint - Synovial fibroblasts,Lung,Mediastinum - Adipose,Omentum - Adipose*,Pancreas*,Prostate*,Prostate,Stomach,Synovial membrane*,Synovial tissue*,Thyroid,Umbilical cord,,,,,,,,
O43320,,F,T,F,F,O43320,Artery - Aorta - Smooth muscle cells*,Artery - Coronary - Smooth muscle cells,Blood - Erythroid progenitor cells,Blood - Peripheral - Natural killer (NK) lymphocytes and lymphoblastoid cells*,Blood vessel - Outgrowth - Endothelial cells*,Colon - Rectum,Lung - Epithelial cells,Nasopharynx - Epipharynx,Thyroid - Epithelial cells,Umbilical cord - Vein - Vascular endothelial cells (HUVEC)*,,,,,,,,,,,,,,
O43508,,F,T,F,F,O43508,Adipose tissue - Gluteal subcutaneous,Blood - Monocyte derived macrophages*,"Blood - Peripheral - Lymphoblastoid cells,T-lymphocytes - CD8+,and natural killer (NK) lymphocytes*",Bone marrow CD4+ T-cells,Brain - Cerebral cortex,Brain - Temporal lobe,Cerebrospinal fluid cells,Colon,Heart*,"Intestine - Small - Ileum,duodenum,and jejunum",Kidney*,Left internal mammary artery*,Lung*,Lung - Microvascular - Endothelial cells*,Muscle - Skeletal - Myotubes,Ovary,Prostate gland*,Small intestine,,,,,,
O43557,,F,T,F,F,O43557,Adipose tissue - Omental*,"Blood - Peripheral - neutrophil granulocytes,helper (CD4+ effector) T-cells,platelets (thrombocytes)*",Bone marrow,Female gonad,Heart - Left ventricular free wall and right atrial appendage - Myocardial cells,Liver*,Lung,Lung - Parietal pleura*,Muscle - Skeletal - Myotubes,Ovary,Pancreas,Placenta - Basal plate (37-40 weeks),Skin - Epidermal - Langerhans cells*,Spleen*,Tonsils - Tonsillar resting T-cells,Umbilical cord - Vein - Vascular endothelial cells (HUVEC)*,,,,,,,,
O43612,,F,T,F,F,O43612,Amniotic fluid*,"Blood - CD8+ cells,CD4+ cells,B cells*","Blood - Leukocyte,CD4+ memory stem cells,CD8+ memory cells",Brain - Hypothalamus*,"Brain - Hypothalamus,diencephalon,brain stem,telenchephalon,mid brain,neocortex,amygdala*",Colon - Rectum,Liver - Portal Triad,Mouth - Epithelial cells,Muscle - Skeletal myotubes*,Spinal cord*,Thyroid - Epithelial cells,,,,,,,,,,,,,
O43612,,F,T,F,F,O43612,Blood - Peripheral -  CD4+l memory T-cells,Blood - Peripheral - Leukocyte,"Blood - Peripheral - T-lymphocytes - CD8+ and CD4+,B-lymphocytes*","Brain - Hypothalamus,temporal lobe *",Colon - Rectum,Fetal - Amniotic fluid*,Liver - Portal triad (portal tract),Mouth - Epithelial cells,Muscle - Skeletal - Myotubes*,Thyroid - Epithelial cells,,,,,,,,,,,,,,
O43921,,F,T,F,F,O43921,Amniotic fluid*,Blood - Peripheral - natural killer (NK) lymphocytes,"Brain - Entorhinal cortex,caudate nucleus",Colon - Mucosa*,Colon - Rectum,Liver*,Liver - Portal triad,Lung - Epithelial cells*,Muscle - Skeletal - Myotubes*,Retina - Pigmented layer,Testis,Thyroid - Epithelial cells,"Tonsil - CD8+ resting and active T-cells,CD4+ resting,regulatory and activated T-cells,natural killer cells*",,,,,,,,,,,
O43927,,F,T,F,F,O43927,Adipose tissue - Omental*,Blood - Lymphoblastoid cells*,Colon - Rectum,Lymph node*,"Lymph node - Inguinal lymph node,lymphoid tissue,and lymph node",Prostate,Spleen*,Synovium - Synovial fluid mononuclear cells,Testis,Thoracic mammary gland*,Thyroid gland,Tonsil - CD30 T-cells,"Tumour - CD8+ T-cells,CD4+ T-cells,and T-cells*",Appendix - Vermiform,,,,,,,,,,
O60258,,F,T,F,F,O60258,Blood - Lymphoblastoid cells*,Blood - T-large granular lymphocyte CD4+*,Bone marrow - Plasma cells,Brain - Ammon's horn,Brain - Brodmann area 22,Brain - Cerebral cortex*,Brain - Diencephalon*,Brain - Frontal cortex*,Brain - Postcentral gyrus,Brain - Superior frontal gyrus*,Brain - Cerebellum*,Brain - Postcentral gyrus,Cervix,Colon - Rectum*,Pancreas - Pancreatic duct,Spleen,,,,,,,,
O60383,,F,T,F,F,O60383,Blood - Eosinophil granulocytes*,"Blood - T cells CD8+,B cells,T cells CD4+,NK cells,lymphoblastoid cells*","Colon - Sigmoid,rectum",Eye - Cornea,Female gonad*,Heart - Left ventricle,Liver - Liver-infiltrating lymphocyte*,"Lung - Aveoli cuboidal alveolar type 2 cells,small airway epithelium cells",Lung - Bronchial epithelial cells,Testis*,Thyroid - Epithelial cells,Umbilical cord - Vein vascular endothelial cells (HUVEC)*,,,,,,,,,,,,
O60542,,F,T,F,F,O60542,"Blood - Peripheral - B-lymphocytes,T-lymphocytes - CD8+,CD4+,*","Blood - Peripheral blood CD4+ T-large granular lymphocytes,peripheral blood leukocytes,erythroblasts*",Bone marrow - Plasma cells,"Brain - Cellebrum,diencephalon*",Colon - Rectum*,"Female organ - Vagina,female gonad*","Intestine - Sigmoid colonic mucosa,rectosigmoid colonic mucosa",Kidney*,Liver - Portal triad (portal tract)*,Lung - Epithelial cells,Mouth - Buccal epithelium organotypic model,Muscle - Tendon*,Ovary,Spleen,Testis,Thyroid - Epithelial cells,,,,,,,,
O60565,,F,T,F,F,O60565,Adipose tissue - Mesenteric - Pre-adipocytes (undifferentiated) and subcutaneous - Pre-adipocytes (undifferentiated),"Blood - natural killer (NK) lymphocytes,erythroid progenitors - CD34+,T-lymphocytes - CD8+",Breast - Stroma cells,Colon - Rectum*,Colon - Sigmoid,Fallopian tube*,Gallbladder*,Intestine - Small,Lung -  Visceral pleura,Lung - Microvascular - Endothelial cells*,Lung - Pulmonary (lung) fibroblasts*,Lymph node,Skin - Dermal fibroblasts,"Skin - Dermal papilla cells,dermis cells,and skin cells",Skin - Scalp*,Skin - Upper nates,"Uterus - Uterine cervix,vagina,mammalian vulva,and cervix epithelium*",Vagina,Appendix - Vermiform *,,,,,
O75095,,F,T,F,F,O75095,Blood -  Natural killer (NK) lymphocytes,Blood - Peripheral - Leukocytes,Bone - Osteoblast-like cells and bone cells,Bone marrow - Mesenchymal stem cells,Brain - Frontal cortex,Cardiovascular system - Coronary artery,Cartilage - Chondrogenic progenitor cells and cartilage cells*,"Colon - Terminal ileum,sigmoid,and ascending*",Fallopian tube,Female gonad,Heart*,Kidney*,Lung*,Ovary,Skin - Dermal papilla cells and epidermis*,Skin - Fibroblasts*,Testis,Thyroid,Vagina,,,,,
O75888,,F,T,F,F,O75888,"Blood - Monocytes,macrophages*","Blood - Peripheral -T-lymphocytes - CD8+,CD4+,natural killer (NK) lymphocytes*",Bone marrow - Bone marrow mononuclear cells,Brain,Brain - Diencephalon*,Colon,Eye - Conjunctiva,Fallopian tube*,Heart*,Intestine - Small - Duodenum,Kidney*,Lung*,Lung - Alveolar macrophages*,Lung - Epithelial cells,Prostate gland,Skin - Fibroblasts,Spinal cord,,,,,,,
O76093,,F,T,F,F,O76093,"Blood - Peripheral - Lymphoblastoid cells,natural killer (NK) lymphocytes,and B-lymphocytes*",Colon - Sigmoid,Eye - Trabecular meshwork cells,Female gonad,"Heart - Left ventricular free wall,right atrial appendage and subendocardial left ventricle - Myocardial cells and microvascular - Endothelial cells*",Heart - Myocardium and left ventricle*,Heart - Ventricles - Interventricular septum*,Lung - Alveolus - Cuboidal alveolar type 2 cells (AT2)*,Lung - Microvascular - Endothelial cells,Lung - Visceral pleura,Parietal pleura*,Prostate - Prostatic stroma fibromuscular cells,Testis,Thyroid,Uterus - Endometrium,Uterus - Myocardium - Cardiomyocyte,,,,,,,,
O95150,,F,T,F,F,O95150,Blood - natural killer (NK) lymphocytes*,Cardiovascular system - Microvascular endothelium cells*,Colon - Sigmoid*,Eye -palpebral conjunctiva,Heart - Subendocardial left ventricles,Intestine - Small*,Kidney,Kidney - Metanephros*,Lung -  visceral pleura*,Lung - Cuboidal alveolar type 2 cells (AT2)*,Mouth - Epithelial cells,Oral cavity - Labial salivary gland and salivary gland,Placenta*,Prostate - Prostatic stroma fibromuscular cells,Thyroid - Epithelial cells,Urethra,Vagina,,,,,,,
O95390,,F,T,F,F,O95390,Blood - Erythroid progenitors - CD34+,Brain - Cerebellum,Brain - Internal (medial) globus pallidus*,Brain - nucleus accumbens,Brain - Subthalamic nucleus,"Colon - Terminal ileum,ascending,and sigmoid*",Eye - Optic nerve head - Astrocytes*,Eye - Retina - Pigmented layer*,Heart*,Heart - Left ventricular free wall and right atrial appendage - Myocardial cells,Heart - Muscle - Cardiomyocyte,Kidney,Lung - Microvascular - Endothelial cells,Ovary*,Spleen,Tendon*,Thyroid,,,,,,,
O95393,,F,T,F,F,O95393,Arterial cells- coronary artery smooth muscle cells*,"Blood - Peripheral - T-lymphocytes - CD8+ and CD4+,natural killer (NK) lymphocytes,B-lymphocytes and lymphoblastoid cells*",Breast (mammary gland) - Epithelium cells,Heart - Cardiac muscle of right atrium*,Liver - Portal triad*,Lung - Microvascular - Endothelial cells and epithelial cells,Muscle - Skeletal - Myotubes,Placenta - Basal plate (37-40 weeks),Spinal cord*,Thyroid - Epithelial cells*,Umbilical cord,,,,,,,,,,,,,
O95715,,F,T,F,F,O95715,Adipose tissue*,"Blood - Lymphoblastoid cells,erythroid progenitors - CD34+*",Brain,Brain - Frontal,Colon,"Eye - Cornea,lens*",Kidney*,Kidney - nephron tubule,Kidney - Renal tubulointerstitium,Lung - Parietal pleura,Placenta,Skin*,"Skin - Hair follicle - Outer root sheath (ORS) cells,upper nates,keratinocytes*",Small intestines,,,,,,,,,,
O95750,,F,T,F,F,O95750,Blood - Eosinophil granulocyte,"Blood - Peripheral - T-lymphocytes - CD4+ and CD8+,natural killer (NK) lymphocytes,B-lymphocytes,leukocytes and lymphoblastoid cells,macrophages - CD14+*",Brain*,Colon - Rectum,Eye - Fetal retina*,"Heart - Right atrial appendage myocardial cells,left ventricular free wall myocardial cells*",Liver - Portal triad (portal tract),Pancreas - Pancreatic islet (islet of Langerhans)*,Placenta - Basal plate (37-40 weeks),Umbilical cord - Mesenchymal stem cells,Uterus - Endometrium*,,,,,,,,,,,,,
O95760,,F,T,F,F,O95760,Adipose tissue - Omental,Adrenal gland*,Artery - Left internal mammary and aortic smooth muscle cells*,Bladder - Smooth muscle cells*,"Blood - Peripheral - B-lymphocytes,natural killer (NK) lymphocytes,and T-lymphocytes - CD8+*",Brain - Diencephalon,Breast - Thoracic mammary gland,Heart - Right atrial appendage*,Lung - Microvascular - Endothelial cells*,Lymph node*,Placenta,Prostate - Stroma fibromuscular cells,Stomach,Testis,Uterus,Vein - Hepatic endothelium cells,,,,,,,,
O95813,,F,T,F,F,O95813,"Blood - Eosinophil granulocytes,NK cells*",Blood - Lymphocytes*,Bone - Growth plate,Bone marrow - Erythroid progenitor cells,Colon,Heart - Middle septum*,"Liver - Portal triad,liver-infiltrating lymphocyte*",Lung - Epithelial cells,Lymph node- Tonsil - NK cells,Thyroid - Epithelial cells,,,,,,,,,,,,,,
O95841,,F,T,F,F,O95841,Adipose tissue - Omental*,Blood - Anergic B-cells*,"Blood - Erythroid progenitors - CD34+,peripheral - natural killer (NK) lymphocytes,lymphoblastoid cells*",Brain - Diencephalon,Circulatory system - Internal mammary artery,Circulatory system - Internal mammary artery wall,Colon*,Colon - Sigmoid*,Heart - Right atrial appendage and left ventricular free wall - Myocardial cells,Layer of synovial tissue,Muscle - Skeletal - Deltoids,Ovary,Placenta*,Skeletal muscle - Quadriceps femoris*,Skin - Upper nates,Synovium (synovial membrane),Testis,Thyroid - Thyroid gland,Umbilical cord*,Uterus,,,,
O95972,,F,T,F,F,O95972,Adipose tissue - Omental,"Blood - Peripheral - B-lymphocytes,natural killer (NK) lymphocytes*","Blood - Polymorphonuclear leukocytes,eosinophil granulocyte,natural killer cells*",Epidermis,Lung - Epithelial cells,"Lymph node - Inguinal lymph node,lymphoid tissue*",Muscle - Skeletal - Vastus lateralis*,Thyroid - Epithelial cells,Umbilical cord,,,,,,,,,,,,,,,
P00797,,F,T,F,F,P00797,Blood - Erythroid progenitors - CD34+*,Blood - Lymphoblastoid cells,Brain - Diencephalon*,Female gonad,Fetal - Chorion villus,Heart,Kidney*,Kidney - Metanephric - Glomerulus*,"Kidney - Renal cortex - Glomerulus,nephron*",Lung - Cuboidal alveolar type 2 cells (AT2),Ovary,Placenta,Skin - Fibroblasts,Small intestine,Testis*,Thyroid*,Uterus - Myometrium,Uterus - Uterine endometrium stroma cells*,,,,,,
P01019,,F,T,F,F,P01019,Adrenal gland,Alimentary system cells*,Brain - Amygdala,Brain - Genu,Brain - Hypothalamus,Brain - Medulla oblongata,Brain - Middle temporal gyrus,Colon - Ascending*,Colon - Sigmoid*,Colon - Terminal ileum,Heart,Kidney *,Liver*,Spinal cord*,Testis,Thyroid,,,,,,,,
P01127,,F,T,F,F,P01127,Amniotic fluid,Artery - Coronary and umbilical - Endothelium cells,Bladder - Urothelium,"Blood - Peripheral - Natural killer (NK) lymphocytes,lymphoblastoid cells,and B-lymphocytes*",Bone marrow - Plasma cells,Brain - Diencephalon*,Brain - Temporal lobe,Breast - Thoracic mammary gland,Colon - Rectum and cecum,Heart - Microvascular - Endothelial cells and subendocardial left ventricle*,Kidney,Liver - Portal triad*,Lung*,Muscle - Skeletal - Myotubes,Placenta*,Testis,,,,,,,,
P01133,,F,T,F,F,P01133,Adult mammalian kidney - nephron tubule*,"Blood - Peripheral - Lymphoblastoid cells,platelets,B-lymphocytes,and natural killer (NK) lymphocytes*",Blood - Platelets and myeloid cells*,Breast - Thoracic mammary gland,Heart - Subendocardial left ventricle*,Kidney*,Kidney - Renal medulla*,Muscle - Skeletal - Biceps femoris and deltoid muscle,Muscle - Skeletal - Myotubes,Pancreas*,Parotid gland,Placenta,"Skeletal muscle - Biceps brachii,deltoid,vastus lateralis*",Thyroid - Epithelial cells,,,,,,,,,,
P01135,,F,T,F,F,P01135,Bladder cells - Urinary bladder urothelium (epithelium) cells*,"Blood - Erythroid progenitors - CD34+,B lymphocytes,lymphoblastoid cells*",Brain - Brodmann (1909) area 46,"Bronchus - Bronchial (primary,main stem) epithelium cells,large airway cells",Colon - Colonic mucosa,Fallopian tube,Gingival epithelium,Heart,Kidney*,Liver,Lung*,Lung - Microvascular - Endothelial cells*,Mouth -buccal epithelium,Nose -Nasal epithelium cells*,Pancreas - Islet of Langerhans*,Retina - Pigmented layer*,Spleen,Thyroid - Epithelial cells,,,,,,
P01137,,F,T,F,F,P01137,Adrenal medulla,Bronchia - Bronchiolar (small airway) epithelium cells,"Blood - Erythroid progenitors - CD34+,peripheral - T-lymphocytes - CD8+,B-lymphocytes*","Blood - Granulocytes- neutrophil granulocytes,promyelocytes*",Bone marrow,"Colon - Terminal ileum,sigmoid,ascending and Intestine - Small - Duodenum,jejunum*",Epididymis,Heart,Kidney,Lung,Lymph node,Pancreas - Epidermal Langerhans cells*,Placenta*,Spleen*,Umbilical cord - Mast cells,Vagina,,,,,,,,
P01138,,F,T,F,F,P01138,Aortic (vascular) smooth muscle cells*,Astrocytes,"Blood - Erythroid progenitors - CD34+,lymphoblastoid cells,peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD8+*",Bone - Cartilage cells,Breast - Breast (mammary gland) stroma cells,Eye - Optic nerve head - Astrocytes*,Fallopian tube*,Female gonad*,Heart*,Lung - Parietal pleura,Ovary*,Placenta,"Skin - Scalp,dermal fibroblasts*",Spinal cord,Testis,Thyroid,,,,,,,,
P01148,,F,T,F,F,P01148,Airway - Bronchial - Muscle cells,Blood - Eosinophil granulocytes*,Blood - Erythroid progenitors - CD34+ and lymphoblastoid cells*,Brain - Cerebellum*,Bronchus - Smooth muscle cells,Epididymal region*,Eye - Optic nerve head - Astrocytes*,Heart - Right atrial appendage and left ventricular free wall - Myocardial cells,Kidney*,Lung*,Prostate gland,Skin - Upper nates - Fibroblasts,Testis,,,,,,,,,,,
P01160,,F,T,F,F,P01160,Bone marrow - Plasma cells,"Brain - Cerebral cortex,cerebellum",Brain - Temporal lobe,Colon - Rectum,Embryo*,Heart*,"Heart - Cardiac muscle of right atrium,myocardium,right ventricle,and left ventricle*",Heart - Subendocardial left ventricle and microvascular - Endothelial cells*,Lung - Epithelial cells,Muscle - Quadriceps femoris,Parotid gland,Placenta*,Testis*,,,,,,,,,,,
P01178,,F,T,F,F,P01178,Adipose tissue - Gluteal subcutaneous  (glutSAT),Amniotic fluid*,"Blood - Peripheral - natural killer (NK) lymphocytes,T lymphocytes CD8+,T lymphocytes CD4+*",Bone marrow - Plasma cells,Cartilage - chondrogenic progenitor cells,"Colon - Sigmoid colonic mucosa,rectosigmoid colonic mucosa*",Hypothalamus*,Liver - Portal triad (portal tract)*,Lung - Epithelial cells,Placenta*,Testis*,Thyroid - Epithelial cells,,,,,,,,,,,,
P01185,,F,T,F,F,P01185,Amniotic fluid,"Blood - Peripheral - natural killer (NK) lymphocytes,lymphoblastoid cells*",Blood - Peripheral - natural killer T-cells*,Bone marrow - Plasma cells,Brain*,Brain - Frontal,Brain - Hypothalamus*,"Brain - Pars reticulata,accumbens nucleus,globus pallidus","Colon - Terminal ileum,rectum*",Liver - Portal triad,Lung - Epithelial cells,Lymph node - Tonsillar T cells*,Testis*,,,,,,,,,,,
P01189,,F,T,F,F,P01189,Adrenal gland - Adrenal cortex,Bone marrow - Plasma cells,"Brain - Diencephalon,thalamus,hypothalamus,epithalamus,subthalamus*",Colon - Rectum*,Diaphragm muscle*,Heart,Muscle - Skeletal - Myotubes,Pancreas,Pituitary*,Testis*,Tonsil - Tonsillar CD4+ resting T-cells,Umbilical cord - Vein - Vascular endothelial cells (HUVEC),,,,,,,,,,,,
P01210,,F,T,F,F,P01210,Blood - Peripheral - Lymphocytes,Bone *,Brain*,Brain - Caudate nucleus*,Breast,Cervix,Colon,Eye - Optic nerve head - Astrocytes*,Ovary*,Spinal cord,Testis*,Testis - Sperm,,,,,,,,,,,,
P01213,,F,T,F,F,P01213,"Blood -  peripheral - T-lymphocytes - CD8+,CD4+,B-lymphocytes,natural killer (NK) lymphocytes and - Lymphoblastoid cells*",Brain - Accumbens nucleus*,Brain - Ammon's horn,Brain - Amygdala*,Brain - Basal ganglia,Brain - Caudate nucleus*,"Brain - Diencephalon,telencaphalon,caudate nucleus,forebrain*",Brain - Hippocampus,Brain - nucleus accumbens,Brain - Putamen,"Brain - Striatum - Associative striatum,dorsal striatum,corpus striatum*","Colon - Terminal ileum,sigmoid,ascending",Lung - Microvascular - Epithelial cells,Placenta*,Testis*,Thyroid,,,,,,,,
P01215,,F,T,F,F,P01215,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes - CD8+,B-lymphocytes",Cervix,"Colon - Terminal ileum,sigmoid,ascending*",Embryo,Extraembryonic tissue / fluid,Female gonad,Kidney,Liver,Mouth - Gingival epithelium organotypic model,Pancreas,Pituitary gland*,Placenta*,Placenta - Basal plate (37-40 weeks)*,Placenta - Chorion villus*,Skin - Epidermal keratinocyte,Stomach,Umbilical cord - Vein - Vascular endothelial cells (HUVEC),,,,,,,
P01222,,F,T,F,F,P01222,Blood - natural killer cells*,"Blood - Peripheral - natural killer (NK) lymphocytes,T-lymphocytes CD8+,T-lymphocytes CD8+,B-lymphocytes*",Brain - Ventral tegmental area,Female gonad*,Lung - Epithelial cells,Nasopharynx (epipharynx),Pituitary*,Placenta - Basal plate (37-40 weeks),Stomach - Cardia,Thyroid - Epithelial cells,,,,,,,,,,,,,,
P01225,,F,T,F,F,P01225,Amniotic fluid,Blood - Erythroid progenitor cells*,Blood - Peripheral - Lymphocytes*,Bone marrow - Plasma cells,Brain - Frontal cortex*,Colon - Epithelium cells,Heart,Lung - Epithelial cells,Lung - Microvascular - Endothelial cells*,Pituitary gland*,Placenta,,,,,,,,,,,,,
P01229,,F,T,F,F,P01229,Adrenal gland,Blood - Peripheral - natural killer T-cells,Bone marrow - Plasma cells,Fetal - Chorion villus*,Muscle - Skeletal - Myotubes,Pancreas*,Pituitary gland*,Placenta*,Spleen,Stomach,Testis*,Thyroid*,"Tonsils - Tonsillar CD8+ resting T-cells,tonsillar CD4+ resting T-cells",,,,,,,,,,,
P01236,,F,T,F,F,P01236,Adipose tissue - Omental,Adrenal gland,Blood - Lymphoblastoid cells*,"Eye - Retina,rectus muscle",Liver,"Lung - Lower lobe of lung,upper lobe of lung",Ovary*,Pituitary gland (hypophysis)*,"Placenta - Myometrium,endometrium*",Spleen,Testis*,Thymocyte,Thyroid,Uterine - Uterine endometrium stroma cells*,,,,,,,,,,
P01241,,F,T,F,F,P01241,Blood - Peripheral - natural killer (NK) lymphocytes,Brain - Pituitary*,Chorion villus*,Extraembryonic tissue / fluid,Eye - Optic nerve head - Astrocytes,Heart - Microvascular - Endothelial cells,Lung - Alveolus - Cuboidal alveolar type 2 cells (AT2),Pituitary gland*,Placenta*,Placenta - Basal plate (37-40 weeks)*,,,,,,,,,,,,,,
